"rotulo","provincia","direccion"
"LA COOPERATIVA","ASTURIAS","POLIGONO DE ROCES, Nº 5 - CARRETERA CARBONERA,, 2230"
"CARREFOUR","ASTURIAS","CALLE MAESTRO AMADO MORAN, S/N"
"CEPSA","ASTURIAS","AVENIDA CONSTITUCION, 105"
"Q8","ASTURIAS","CALLEJA, CALLEJÓN JOAQUIN ALONSO DIAZ, 33"
"LA ESTRELLA DE QATAR","ASTURIAS","ZONA CALLE MANUEL VIGIL MONTOTO, 80"
"FAST FUEL","ASTURIAS","CALLE RECTA DE PEÑAFLOR, 12"
"CEPSA","ASTURIAS","C/ HIGINIO CARROCERA S/N- BARROS - LANGREO (AS-17 km 39.1)"
"DISMUSA MASYMAS","ASTURIAS","CALLE ALISEDA UMERAL POLG. IND. DE RIAÑO I, 1"
"REPSOL","ASTURIAS","POLIGONO POLIGONO RIAÑOI, 1"
"CEPSA","ASTURIAS","AUTOVIA A-66 (MRG.DCHO.) KM. 58,5"
"REPSOL","ASTURIAS","CARRETERA AU A-66 KM. 19"
"REPSOL","ASTURIAS","CARRETERA AU A-66 KM. 19"
"GALP","ASTURIAS","AUTOVIA AUTOVIA A8 KM. 310"
"GALP","ASTURIAS","AUTOVIA AUTOVIA A8 KM. 310"
"PETROPRIX","ASTURIAS","CALLE VEGA DE ARRIBA, 106"
"BALLENOIL","ASTURIAS","CALLE VEGA DE ARRIBA, 27"
"CARREFOUR","ASTURIAS","COMPLEJO CENTRO COMERCIAL CAUDALIA, S/N"
"HAM","ASTURIAS","AVENIDA OVIEDO, SN"
"REPSOL","ASTURIAS","CL LA TENDERINA BAJA, S.N."
"REPSOL","ASTURIAS","AUTOPISTA A-66 KM. 33"
"REPSOL","ASTURIAS","CALLE GENERAL ELORZA, 30"
"ESOIL","ASTURIAS","POLIGONO ESPÌRITU SANTO, PARCELA, 17 (N-634 SANTANDER OVIEDO km 401,7)"
"CEPSA","ASTURIAS","PLAZA RUIZ DE LA PEÑA, S/N (AS-18 km 0,1)"
"AGROVALDES, S. C. L.","ASTURIAS","POLIGONO INDUSTRIAL EL ZARRIN, S/N"
"ALCAMPO","ASTURIAS","CARRETERA AS17 KM. 47"
"CAMPSA","ASTURIAS","AVENIDA DE OVIEDO, 13"
"REPSOL","ASTURIAS","CARRETERA SI 04 KM. 5"
"LAS PALMERAS","ASTURIAS","LUGAR LA CARRERA, S/N"
"PETROPRIX","ASTURIAS","CALLE VALERIANO LEON, S/N"
"CARREFOUR","ASTURIAS","CALLE AMADO MORAN S/N, S/N"
"REPSOL","ASTURIAS","AUTOPISTA A-8 KM. 456"
"BP CENTRAL LECHERA","ASTURIAS","POLIGONO NATALIO, 1"
"EROSKI","ASTURIAS","AUTOVIA A8, SALIDA 456 (C.C EROSKI) KM. 00"
"CAMPSA","ASTURIAS","CARRETERA N-634 KM. 386,517"
"AVIA","ASTURIAS","POLIGONO CORTAFICIO, CALLE A, PARCELA I, 8"
"CAMPOASTUR","ASTURIAS","BARCENA DEL MONASTERIO S/N"
"CAMPOASTUR","ASTURIAS","POLIGONO INDUSTRIAL LA CURISCADA S/N"
"CAMPOASTUR","ASTURIAS","RIO MAYOR S/N (N-634 km 512)"
"AGROVALDES, S. C. L.","ASTURIAS","PLAZA DE LA COOPERATIVA, S/N"
"CAMPOASTUR","ASTURIAS","LUGAR MUÑAS, 0"
"CAMPOASTUR","ASTURIAS","VA-5 km 5.200"
"CEPSA","ASTURIAS","CARRETERA N-632 KM. 43,05"
"CEPSA","ÁVILA","AUTOVIA DEL NOROESTE KM. 111"
"COPLAM","ÁVILA","C/PRADO NUEVO, S/N"
"VALCARCE","ÁVILA","POLG.IND. TIERRA AREVALO, F-10 (A-VI km 129)"
"BALLENOIL","ÁVILA","CALLE HORNOS CALEROS, S/N"
"ALCAMPO","ÁVILA","CALLE LOS MACEROS, SN"
"CARREFOUR","ÁVILA","AVENIDA PATRIMONIO DE LA HUMANIDAD, 4, 4"
"PETROPRIX","ÁVILA","AVENIDA JUAN CARLOS I, 17"
"PETROPRIX","ÁVILA","CALLE RIO AREVALILLO, 23"
"REPOSTAR","ÁVILA","CALLE RIO DUERO, 11"
"PLENOIL","ÁVILA","CALLE JORGE DE SANTAYANA, 2"
"AN-MADRIGAL","ÁVILA","CAMINO BAJORRO, S/N"
"CEPSA","ÁVILA","AUTOVIA A 50 KM. 30,3"
"GOEXPRESS","ÁVILA","CARRETERA MADRID KM. 8,000"
"REPSOL","ÁVILA","AUTOVIA NOROESTE A-6 KM. 135,500"
"SAN PEDRO BAUTISTA VILLACASTIN, S.COOP","ÁVILA","CARRETERA SANTA CRUZ DEL VALLE KM. S/N"
"REPOSTAR","ÁVILA","N-VI km 101,3"
"GASLOWCOST","ÁVILA","CARRETERA N110 KM. 280"
"COOP.GUADALPERALES","BADAJOZ","PLAZA DE LA IGLESIA, S/N"
"LA SOLEDAD","BADAJOZ","CALLE PADRON DE SAN ANTONIO, S/N"
"SHELL","BADAJOZ","CALLE MECANICA, 12"
"CEPSA","BADAJOZ","CARRETERA GIJON-SEVILLA KM. 648"
"COOPERATIVA","BADAJOZ","AVENIDA A RUA, 137"
"SETTRAN","BADAJOZ","CALLE CONSTRUCCION, SN"
"EESS LA FLORIDA","BADAJOZ","CARRETERA GIJON-SEVILLA KM. 650,9"
"BURBUJAS","BADAJOZ","CALLE MINA LA OSCURIDAD, 61"
"REPSOL","BADAJOZ","CARRETERA N-5 KM. 401,800"
"SHELL","BADAJOZ","CARRETERA N-432 KM. 0,650"
"OCHO AREAS DE SERVICIO","BADAJOZ","CALLE CORTE DE PELEAS, 114"
"OCHO ÁREAS DE SERVICIO","BADAJOZ","CARRETERA N432 KM. 2100"
"GALP","BADAJOZ","AUTOVIA A5 km 405,715"
"AREA SAN MARTIN","BADAJOZ","POLIGONO INDUSTRIAL EL NEVERO, 17"
"IDS","BADAJOZ","AVENIDA ANTONIO NEVADO, 35"
"GALP","BADAJOZ","AVENIDA ADOLFO DIAZ AMBRONA, 60"
"BALLENOIL","BADAJOZ","CALLE JERONIMO DE VALENCIA, 11"
"REPSOL","BADAJOZ","CARRETERA EX-100 KM. 85,600"
"ADS","BADAJOZ","CALLE NEVERO QUINCE, 57"
"CARREFOUR","BADAJOZ","CARRETERA CRTA. VALVERDE DE LEGANES KM, 1 KM. 1"
"CARREFOUR","BADAJOZ","CALLE C/ JOSE MARÍA ALCARAZ Y ALENDA, S/N"
"PETROMODE","BADAJOZ","CALLE FEDERICO MAYOR ZARAGOZA, S/N"
"S. COOP. AGRICOLA DE COLONOS DE NOVELDA","BADAJOZ","CALLE AIRE, S/N"
"SAN VALERIANO EXTREMEÑO SCL","BADAJOZ","PROLONGACIO/PROLONGACIÓN RONDA OESTE, S/N"
"IBERDOEX","BADAJOZ","CARRETERA NACIONAL V KM. 391"
"BALLENOIL","BADAJOZ","CARRETERA BA-20 KM. 1"
"M&D","BADAJOZ","CALLE JEREZ, 0"
"COOPERATIVA OLIVARERA CABEZA DEL BUEY","BADAJOZ","CARRETERA PUEBLA DE ALCOCER KM. 1"
"GASOLINERA CALAMONTE","BADAJOZ","CARRETERA SEVILLA KM. S/N"
"E.S TENTUDIA","BADAJOZ","CALLE HERNANDO DE SOTO, 2"
"LAENCINA SODAD COOP LIMITADA","BADAJOZ","CARRETERA EX-104 VILLANUEVA DE LA SERENA-ANDUJAR KM. 19"
"CAMPSA","BADAJOZ","CR BA-4026 0,2"
"FAST FUEL","BADAJOZ","CARRETERA VILLANUEVA KM. 6"
"UNIDAD SUMINISTRO COOPERATIVA GANADERA CASTUERA","BADAJOZ","CARRETERA MONTERRRUBIO KM. S/N"
"Q8","BADAJOZ","CARRETERA CTRA. N-430 (CTRA. BADAJOZ-CIUDAD REAL) KM. KM 105,5"
"SETTRAN","BADAJOZ","CALLE MARINEGRA, 11"
"BURAN ENERGY","BADAJOZ","AVENIDA VEGAS ALTAS, 23"
"CASAT","BADAJOZ","CALLE ALQUERIA, S/N"
"DONBEX","BADAJOZ","CALLE ISAAC PERAL, 3"
"SHELL","BADAJOZ","CALLE LEONARDO DA VINCI, 28"
"SOCIEDAD COOPERATIVA DEL CAMPO SAN MIGUEL","BADAJOZ","RONDA NORTE, 1"
"NO HAY","BADAJOZ","CALLE SAN JOSE, 16"
"COOPENTRIN","BADAJOZ","CAMINO DEL CEMENTERIO, S/N"
"CME","BADAJOZ","CALLE VIA EMERITA, 66"
"GASOLEO B","BADAJOZ","POLIGONO INDUSTRIAL FREXNENSE, S/N"
"SI","BADAJOZ","C 712 km 1,4"
"S. COOP. NTRA. SRA. DE LA CABEZA","BADAJOZ","CARRETERA DE ZAFRA, Nº 4"
"CAMPIÑA SUR","BADAJOZ","CARRETERA EJIDO DEL VALLE KM. S/N"
"SOC.COOP DEL CAMPO SAN PEDRO","BADAJOZ","CARRETERA DON BENITO KM. S/N"
"SANGAR","BADAJOZ","CARRETERA EXT.105, KM. 24"
"SDAD.COOP.LIMT. DE HORNACHOS","BADAJOZ","CTRA. PUEBLA DE LA REINA S/N"
"Q8","BADAJOZ","CALLE CTRA. N-435, PK KM 70,9, 70"
"SETTRAN","BADAJOZ","CARRETERA EX 112 KM. 27"
"SIERRA DE JEREZ SOCIEDAD COOPERATIVA","BADAJOZ","CARRETERA CIRCUNVALACIÓN SN KM. S/N"
"PETROCOR","BADAJOZ","CALLE LA RADIO II, 17"
"COOPERATIVA LOBON","BADAJOZ","CALLE CAMINO DE LAS HUERTAS, 7"
"CEPSA","BADAJOZ","AUTOVIA A5 KM. 367,350"
"SOCIEDAD COOPERATIVA AGRICOLA DE MEDELLIN","BADAJOZ","CARRERA DE LA ESTACION, 1"
"COOP. STMO. CRISTO H.","BADAJOZ","CALLE LUIS CHAMIZO, 1"
"PETROGOLD","BADAJOZ","AVENIDA FELIPE VI, S/N"
"SHELL","BADAJOZ","AUTOVIA A-66 KM. 630"
"CARREFOUR","BADAJOZ","CARRETERA MADRID-LISBOA, S/N KM. S/N"
"BALLENOIL","BADAJOZ","CALLE PAPA JUAN XXI, S/N"
"BURAN ENERGY","BADAJOZ","CALLE CALLE VALLADOLID, S/N"
"COOP. LIMITADA DEL CAMPO SAN JOSE DE CALAMONTE","BADAJOZ","CARRETERA ACC. A CALAMONTE KM 1 KM. 1"
"REPSOL","BADAJOZ","CARRETERA E-90/N-V KM. 340,9"
"REPSOL","BADAJOZ","AUTOVIA A-5 KM. 341"
"HERMANOS GUILLEN MONTERO S.A.","BADAJOZ","AVENIDA HISPANIDAD, 2"
"E.S. VIA DE LA PLATA, S.L.","BADAJOZ","POLIGONO IND. EL PRADO, PARC SER 1-A, S/N"
"SETTRAN","BADAJOZ","CARRETERA EX 209 KM. 60"
"SAN ISIDRO","BADAJOZ","CALLE BARRIO DE LA CRUZ, 157"
"REPSOL","BADAJOZ","AUTOPISTA A-66 KM. 727"
"CEPSA LEO","BADAJOZ","AUTOVIA A 66 KM. 730"
"COMOSUREX","BADAJOZ","POLIGONO EL ALCORNOCAL, CALLE LOS AGRICULTORES, 56"
"IBERDOEX","BADAJOZ","CARRETERA CASTUERA KM. 194"
"COOPERATIVA LA UNIDAD","BADAJOZ","CTRA.CASTUERA,S/Nº"
"TIERRASGORDAS","BADAJOZ","CARRETERA TORREMAYOR KM. 0"
"GALP ENERGIA","BADAJOZ","CARRETERA LOBON LA ROCA KM. 5,300"
"PETROCAR","BADAJOZ","AVENIDA DE PUEBLA, 6"
"COOPERATIVA","BADAJOZ","CALLE EXTREMADURA, S/N"
"SAN AGUSTIN DE OBANDO SCL","BADAJOZ","CALLE SIGLO XXI, 7"
"SAN AGUSTIN DE OBANDO SCL","BADAJOZ","CARRETERA EX-116 KM. 0,500"
"M&D","BADAJOZ","CARRETERA EX-107 KM. 23,4"
"SDAD. COOP. VEGAS BAJAS","BADAJOZ","CALLE CALZADA ROMANA, S/N"
"Q8","BADAJOZ","CARRETERA CTRA. N-432 (CTRA. BADAJOZ-ZAFRA-CÓRDOBA) KM. KM 78,23"
"VEGAS DE PUEBLONUEVO, SDAD. COOP. LTDA.","BADAJOZ","CARRETERA MONTIJO-BADAJOZ KM. 13,9"
"FUELQUIN","BADAJOZ","AVENIDA EJIDO, 12"
"SDAD.COOP.OLIVAREROS Y VITICULTORES","BADAJOZ","CARRETERA LOS SANTOS DE MAIMONA KM. 0,150"
"REPSOL","BADAJOZ","AUTOVIA A-5 KM. 325"
"C.T. DE SAN VICENTE DE ALCANTARA","BADAJOZ","AVENIDA BADAJOZ, S/N"
"AMALIA DE SAJONIA","BADAJOZ","CARRETERA VALDEHORNILLOS, S/N KM. S/N"
"COOPERATIVA SANTA MARTA VIRGEN","BADAJOZ","CALLE CORDELILLO, 62"
"SDAD COOP CORAZON DE JESUS","BADAJOZ","AVENIDA CORTEGANA (ALDEA RETAMAR), 26"
"COOP. LA SIBERIA EXTREMEÑA","BADAJOZ","AVENIDA EXTREMADURA, 118"
"Q8","BADAJOZ","AUTOVIA AUTOVIA  A-5 KM. KM 375,86"
"AUTOOIL","BADAJOZ","CARRETERA DE LA ALBUERA EX363 KM. 0,300"
"SHELL","BADAJOZ","AUTOVIA A-5 km 384,700"
"DOEX","BADAJOZ","CARRETERA EX-105 KM. 110"
"SCL EL SEÑORIO","BADAJOZ","AVENIDA EXTREMADURA, 6"
"COOP. DELCAMPO SAN ISIDRO DE VALENCIA DEL VENTOSO","BADAJOZ","CTRA. DE VCIA. DEL VENTOSO - ZAFRA km 0,8"
"SUMINISTROS AGRICOLAS DE VILLAFRANCA, A.I.E.","BADAJOZ","CARRETERA PALOMAS DE KM. S/N"
"SETTRAN","BADAJOZ","CARRETERA N-630 KM. 664,04"
"E.S. LA CORONADA","BADAJOZ","CARRETERA CARRETERA DE PALOMAS S/N KM. 1,881"
"REPSOL","BADAJOZ","CR N-630, 664,5"
"CEPSA - FIERROIL","BADAJOZ","AUTOVIA A66 KM. 657"
"IDS","BADAJOZ","CALLE VARALES, S/N"
"QUALITYFUEL","BADAJOZ","CALLE ELECTRICISTA, 1"
"SDAD. COOP. DEL CAMPO NUESTRO PADRE JESUS","BADAJOZ","CARRETERA OLIVA DE MERIDA KM. 0,200"
"SAN ISIDRO","BADAJOZ","RONDA DE LA HISPANIDAD, S/N"
"PETROSTAR ENERGIA","BADAJOZ","POLIGONO POLIGONO INDUSTRIAL LA BARCA, 1"
"CARREFOUR","BADAJOZ","CARRETERA CTRA. DE CIRCUNVALACIÓN, S/N KM. S/N"
"IBERDOEX","BADAJOZ","CARRETERA N-430 KM. 118"
"COOPERATIVA LA SAGRADA FAMILIA","BADAJOZ","CALLE RONDA NORTE, S/N"
"LA ENCINA DE PALAZUELO S. COOP.","BADAJOZ","CARRETERA CIRCUNVALACIÓN, S/N KM. 10"
"SDAD COOP AGRARIA SAN JUAN","BADAJOZ","CTRA SANTA AMALIA-VALDIVIA km 14"
"PETROCAR","BADAJOZ","CALLE RECINTO FERIAL, MANZANA R-2, S/N"
"IBERDOEX","BADAJOZ","CALLE GUADIANA, S/N"
"CARREFOUR","BADAJOZ","CARRETERA CRTA CORDOBA A BADAJOZ KM. 71,3"
"REPSOL","BALEARS (ILLES)","VÍA CORNELI ATIC, 5"
"BP","BALEARS (ILLES)","CARRETERA PALMA-PTO ANDRATX KM. 28,90"
"REPSOL","BALEARS (ILLES)","CALLE ANTONI CALAFAT, 22"
"EROSKI","BALEARS (ILLES)","CARRETERA MA-13 A, ESQUINA CAMI AGUA KM. S/N"
"BP","BALEARS (ILLES)","CARRETERA CALA FIGUERA, EL TORO, SON FERRER KM. S/N"
"BP","BALEARS (ILLES)","CALLE ILLES BALEARS, 1"
"REPSOL","BALEARS (ILLES)","CARRETERA PALMA-ANDRATX KM, 18 KM. 18"
"BUGA 2000","BALEARS (ILLES)","CARRER M.MEDITERRÀNIA, 24"
"CEPSA","BALEARS (ILLES)","CARRETERA C-717 PALMA - PORTO PETRO KM. 34,5"
"GALP","BALEARS (ILLES)","PLAZA SON VILAR, 14"
"AUTONETOIL","BALEARS (ILLES)","CALLE FERRERS, 12"
"GALP","BALEARS (ILLES)","CALLE FERRERS, 1"
"CEPSA","BALEARS (ILLES)","CARRER ALCALDE BARTOLOME ROSELLO SALA, 2"
"REPSOL","BALEARS (ILLES)","CARRETERA PM-808 KM. 1,25"
"REPSOL","BALEARS (ILLES)","CARRETERA PM - 213 KM. 14,8"
"JUST FUEL","BALEARS (ILLES)","CALLE PUIG DE SANT NICOLAU, 1"
"REPSOL","BALEARS (ILLES)","AVENIDA JAIME I, 143"
"BP","BALEARS (ILLES)","CARRETERA PALMA-ALCUDIA CRUCE CTRA.SENCELLES KM. S/N"
"BP","BALEARS (ILLES)","CALLE LLUC  ESQUINA SELVA, INCA, S/N"
"AUTONETOIL","BALEARS (ILLES)","CALLE JOAN DE AUSTRIA, 72"
"REPSOL","BALEARS (ILLES)","AVENIDA GENERAL LUQUE, S/N"
"SHELL","BALEARS (ILLES)","CARRER SABATERS, SN"
"CEPSA","BALEARS (ILLES)","AVENIDA JOSE ANSELMO CLAVE, S/N"
"GMOIL","BALEARS (ILLES)","CALLE BAJOLI ( POLIGONO INDUSTRIAL ARTRUIX ), 39"
"GALP","BALEARS (ILLES)","AVENIDA CAP DE CAVALLERIA, 14"
"AUTONETOIL","BALEARS (ILLES)","CARRER ARTRUXT, 7"
"PETROEST","BALEARS (ILLES)","CARRETERA PM-402 KM. 5,6"
"REPSOL","BALEARS (ILLES)","CALLE JUAN MIRO, S/N"
"REPSOL","BALEARS (ILLES)","VÍA VIA PALMA, 87 (ROTONDA HOSPITAL), 87"
"JUST FUEL","BALEARS (ILLES)","RONDA OEST, 25"
"BP","BALEARS (ILLES)","POLIGONO OLLERS, S/N"
"REPSOL","BALEARS (ILLES)","CARRETERA PALMA-PTO ALCUDIA KM. 8,9"
"GALP","BALEARS (ILLES)","CARRETERA MAHÓN - FORNELLS KM. 12,6"
"CARBURANTS LOW COST","BALEARS (ILLES)","CALLE B, 35"
"BP AMANECER","BALEARS (ILLES)","CALLE ALFONS EL MAGNANIM, 90"
"REPSOL","BALEARS (ILLES)","CALLE CAPITAN SALOM, 31"
"AUTONETOIL","BALEARS (ILLES)","CALLE POIMA, 12"
"SHELL","BALEARS (ILLES)","CALLE CAMI DE JESUS, 10"
"BP","BALEARS (ILLES)","CALLE ANDREA DORIA, ESQUINA SON ARMADANS, S/N"
"BP","BALEARS (ILLES)","AVENIDA JOAN MIRO, 238"
"REPSOL","BALEARS (ILLES)","CAMI CAMI DE SON RAPINYA ESQ.CAMI DEL REIS, S/N"
"REPSOL","BALEARS (ILLES)","PLAZA PROGRESO, S/N"
"CEPSA","BALEARS (ILLES)","CALLE CAMINO DE LOS REYES, 201"
"REPSOL","BALEARS (ILLES)","AVENIDA GABRIEL ALOMAR Y VILLALONGA, S/N"
"BP","BALEARS (ILLES)","AVENIDA AMERICA, ARENAL, 18"
"GALP","BALEARS (ILLES)","CALLE MANUEL AZAÑA, 5"
"AUTONETOIL","BALEARS (ILLES)","CARRER DE SON PENDOLA, 1"
"SHELL","BALEARS (ILLES)","CALLE HORT DE SES ÀNIMES, 23"
"BP LLUCMAJOR","BALEARS (ILLES)","CALLE LLUCMAJOR, 109"
"REPSOL","BALEARS (ILLES)","CALLE ARAGON, 217"
"REPSOL","BALEARS (ILLES)","CALLE ARAGON, 180"
"PETROEST","BALEARS (ILLES)","CALLE GABRIEL ALZAMORA, 25"
"PETROEST","BALEARS (ILLES)","CALLE GREMI CIRUGIANS I BARBERS, 11"
"SET&GO","BALEARS (ILLES)","CALLE GREMI SELLETERS I BASTERS, 12"
"BP","BALEARS (ILLES)","CALLE TRAMUNTANA, S/N"
"REPSOL","BALEARS (ILLES)","CAMINO SON FANGOS, 151"
"SHELL","BALEARS (ILLES)","CTA. MANACOR C-715 km 6.7"
"REPSOL","BALEARS (ILLES)","CALLE MANACOR, 309"
"BP","BALEARS (ILLES)","CARRETERA 10, CAMINO DE CAN CAPO, SŽARANJASSA KM. 717"
"EROSKI","BALEARS (ILLES)","CALLE JOAN PIZA I MASSANET, 5"
"JUST FUEL","BALEARS (ILLES)","CALLE FUSTER DEL, 47"
"COOPERATIVA PAGESA DE POLLENÇA","BALEARS (ILLES)","CARRETERA MA-2200 KM. 54,40"
"CEPSA","BALEARS (ILLES)","CARRETERA C-731 KM. 13"
"BP SAN LUIS","BALEARS (ILLES)","AVENIDA DE SA PAU, 6"
"EROSKI","BALEARS (ILLES)","AVENIDA TALAIOT, 1"
"CEPSA","BALEARS (ILLES)","AVENIDA BIENVENIDOS, 36"
"SHELL","BALEARS (ILLES)","CARRETERA 3301 KM. 1,5"
"REPSOL","BALEARS (ILLES)","CARRETERA SON SERVERA KM. 1,5"
"HAM","BARCELONA","CALLE TREBALL, 1"
"GALP","BARCELONA","CALLE SALVADOR SEGUI,1,"
"HAM","BARCELONA","PASAJE TREBALL DEL, 1"
"AUTONETOIL","BARCELONA","CARRER RIERA, 48"
"BP ALELLA","BARCELONA","CARRETERA ALELLA KM. 1"
"PETROLIS INDEPENDENTS - PETRO7","BARCELONA","CALLE SECTOR MAS DORCA, 2"
"BP ARENYS DE MAR","BARCELONA","CR RA-2 KM  655,9"
"PETROMARESWAGEN","BARCELONA","CARRETERA NACIONAL II KM. 656"
"P FUEL EXPRESS","BARCELONA","POLIGONO VALLDEGATA DRAPER UASU 2-1,"
"EVOLUTION","BARCELONA","CALLE INDUSTRIA, 371"
"BP","BARCELONA","CARRETERA DE MATARO KM. 30"
"LOWCOSTFUEL","BARCELONA","CARRETERA DE MATARO KM. 1"
"CARREFOUR","BARCELONA","AVENIDA COMUNIDAD EUROPEA, S/N"
"REPSOL","BARCELONA","AVENIDA PRESIDENT COMPANYS, 280"
"TAMOIL","BARCELONA","AVINGUDA MARQUES DE MONTROIG, 125"
"BONAREA","BARCELONA","CALLE ESTIU, 18,20"
"BP BADANOR","BARCELONA","PLAZA CARITG, 1"
"BP MONTIGALA","BARCELONA","AVENIDA DINAMARCA ESQ. COMUNIDAD EUROPEA, S/N"
"REPSOL","BARCELONA","CL AVENIDA ALFONSO XIII, 628"
"PETROBAGES S.L.","BARCELONA","AVENIDA INDUSTRIA,"
"BP SANTIGA","BARCELONA","CR DE RIPOLLET A SANTIGA KM  2,4"
"PETROLOWCOST","BARCELONA","CARRER ARQUIMEDES, 19"
"BALLENOIL","BARCELONA","RONDA INDUSTRIA, 38"
"NATURGY","BARCELONA","CALLE DOCTOR AIGUADER, 50"
"REPSOL","BARCELONA","AVENIDA DEL LITORAL, 49"
"Q8","BARCELONA","CALLE TAULAT 15 ESQUINA CIUDAD DE GRANADA,"
"BENZINERA POBLE NOU","BARCELONA","CALLE ROC BORONAT, 10"
"B-OIL","BARCELONA","CALLE BAC DE RODA, 130"
"EVOLUTION","BARCELONA","CALLE PERE IV, 79"
"M AUTOMOCION","BARCELONA","CALLE PERU, 171"
"GALP","BARCELONA","CALLE BAC DE RODA, 66"
"REPSOL","BARCELONA","CALLE BALMES, 288"
"PETROPRIX","BARCELONA","CALLE BADAJOZ, 108"
"PETROMIRALLES","BARCELONA","CALLE PORT DE HAIFA, S/N"
"CEPSA","BARCELONA","CALLE CASANOVA, 89"
"ESTACION SERVICIO UBACH SA","BARCELONA","AVINGUDA PARAL.LEL, 25"
"CONFORT AUTO","BARCELONA","CARRER NUMERO TRES, 50"
"CEPSA","BARCELONA","AVENIDA PARALELO, 179"
"MOLGAS","BARCELONA","CALLE B, ZONA FRANCA, 13"
"HAM","BARCELONA","CALLE CALLE Y PUERTO, S/N"
"GALP","BARCELONA","Pº de la Zona Franca, 221-239"
"CEPSA","BARCELONA","CALLE COMTE D'URGELL, 219"
"REPSOL","BARCELONA","CALLE VALENCIA, 503"
"REPSOL","BARCELONA","CALLE DIPUTACION, 371"
"TORTUGA","BARCELONA","CALLE MAJOR, 26"
"GM FUEL STATIONS","BARCELONA","CARRER 29 DE LA ZONA FRANCA, 62"
"REPSOL","BARCELONA","CALLE 6   SECTOR  C    ZONA FRANCA, S/N"
"NIEVES","BARCELONA","CALLE LLETRA B DE LA ZONA FRANCA, 13"
"E.S.MOYANES","BARCELONA","MOIANES, 34"
"REPSOL","BARCELONA","AVENIDA DIAGONAL, 687"
"MEROIL","BARCELONA","CALLE GALILEU, 210"
"RACC","BARCELONA","AVENIDA DOCTOR MARAÑON, S/N"
"SHELL","BARCELONA","CALLE IRADIER, S/N"
"REPSOL","BARCELONA","AVENIDA SARRIA, 126"
"CEPSA","BARCELONA","AVENIDA DE ESPLUGUES, 103"
"GARDENOIL","BARCELONA","CALLE EDUARDO CONDE, 11"
"OIL PRIX","BARCELONA","CARRETERA L'ARRABASSADA KM. 5"
"REPSOL","BARCELONA","CALLE COLLSEROLA, 2"
"BENZINERA HOSPITAL MILITAR","BARCELONA","Avda. Hospital Militar, 231-237"
"GALP","BARCELONA","CALLE TAJO, 28"
"CEPSA","BARCELONA","CARRETERA C-17 KM. 0,500"
"MEROIL","BARCELONA","AVENIDA MERIDIANA, 666"
"REPSOL","BARCELONA","PASEO VALLDAURA, 106"
"BP VIA FAVENCIA","BARCELONA","CL VIA FAVENCIA  75 - 121"
"REPSOL","BARCELONA","PASEO DOCTOR PI Y MOLIST, 110"
"PREMIUM ENERGY LA SAGRERA","BARCELONA","CALLE SANTANDER, 50"
"REPSOL","BARCELONA","CALLE SANTANDER, 102"
"PETROCAT DIRECTE","BARCELONA","CALLE CIUDAD DE ASUNCIÓN, 69"
"REPSOL","BARCELONA","CALLE GRAN DE SANT ANDREU, 513"
"NATURGY","BARCELONA","CALLE FRA JUNIPER SERRA, 59-75"
"BALLENOIL","BARCELONA","CALLE CIUDAD DE ASUNCIÓN, 12"
"TAMOIL","BARCELONA","CALLE TUCUMAN, 2"
"PREMOIL","BARCELONA","CARRER PERE IV, 544"
"TAMOIL","BARCELONA","CALLE PUJADES, 309"
"CARREFOUR","BARCELONA","CARRETERA CTRA SAN FRUITOS KM. 65"
"BALLUS BAIX COST","BARCELONA","CALLE BERNAT SALA (POLIGONO INDUSTRIAL), 62"
"REPSOL","BARCELONA","CARRETERA A-2 KM. 567"
"REPSOL","BARCELONA","AUTOVIA A-2 KM. 567"
"GALP","BARCELONA","AUTOVIA A-2 KM. 573"
"ESCLATOIL","BARCELONA","CARRETERA NACIONAL II KM. 70"
"CARREFOUR","BARCELONA","CARRETERA NACIONAL II KM. 644"
"REPSOL","BARCELONA","RIERA ARGENTONA, 1"
"BONAREA","BARCELONA","POLIG. IND. LES GARRIGUES, 24, C. BON AREA"
"U.S. CALDES - GAS-OILS ROVIRA-","BARCELONA","AVENIDA PI I MARGALL, 171"
"GASUIR","BARCELONA","CARRETERA 1415 KM. 1925"
"TAMOIL","BARCELONA","CALLE FRAGATA PAULITA, 1"
"PETRO VALLES","BARCELONA","CALLE JUAN DE LA CIERVA, 2"
"SPAROIL","BARCELONA","CARRETERA VILAFRANCA KM. 45"
"CARREFOUR","BARCELONA","CARRETERA GRANOLLERS-SANT CELONI, CANT FREDERIC MISTRAL KM. S/N"
"GRUSVIP","BARCELONA","CARRETERA CARDONA A SOLSONA KM. 64,5"
"PETROEIGHT","BARCELONA","CALLE TERRA ALTA, 47"
"PETROPRIX","BARCELONA","CALLE PRIORAT, 30"
"GALP","BARCELONA","AUTOPISTA AP-7 KM 165,5 KM. 165,5"
"CEPSA","BARCELONA","AUTOPISTA AP-7 KM. 165,5"
"ESCLATOIL","BARCELONA","AVENIDA CAN CAMPANYA, 1"
"BENZINERA CASTELLBISBAL","BARCELONA","C/ MAGNETISME, 1 (B-150)"
"FERCAM","BARCELONA","CALLE FERRALLA, 38"
"CARREFOUR","BARCELONA","CALLE RAL DE VALENCIA, 21"
